Entidad,Nombre_Banco,Periodo,Activo,Disponibilidades,Disponibilidades en pesos,Caja $,BCRA $,Disponibilidades en ME,Caja ME,BCRA ME,Titulos públicos y privados,Titulos públicos y privados en pesos,Titulos públicos y privados en ME,Letras y Notas BCRA,Prestamos,Prestamos totales,Volumen de Negocio,Prestamos en pesos,Prestamos en ME,Prestamos sector publico no fcro pesos,Prestamos sector publico no fcro ME,Prestamos sector privado no fcro pesos,Prestamos privado no fcro ME,OCIF,Prestamos Comerciales,Propiedad Planta y Equipo,Créditos diversos,Participación en otras sociedades,Activos Intangibles,PPI Deudoras,Pasivo,Depositos,Depositos en pesos,Depositos a la vista $,Depositos a plazo $,Depositos en ME,Depositos a la vista en ME,Depositos a plazo ME,OOIF,PN,Capital social,PN FINAL,Reserva Legal,Previsiones,Ingresos financieros,Egresos financieros,Ingresos por servicios,Egresos por servicios,Gastos de Administracion,Cargo por Incobrabilidad,Utilidades diversas,Perdidas diversas,Gastos de Personal,Utilidad neta
254,BANCO MARIVA S.A.,201606,2945143,346277,186681,4555,182126,159596,12511,89849,276659,88828,187831,0,1167195,1167195,2720104,1033288,133907,20230,0,990524,133907,931710,818231,23104,20262,148443,992,9,2547584,1576293,959072,393955,325202,617221,151455,454920,933902,336880,67063,397559,80597,-36946,527971,341410,18572,5605,117847,26516,30635,3233,97964,60679
254,BANCO MARIVA S.A.,201607,3548204,438703,217655,2232,215423,221048,16359,139113,415199,111267,303932,0,1239094,1239094,3172501,1060476,178618,19797,0,1018439,178618,1228558,849116,23180,17574,153583,1141,0,3142619,1957519,1248018,495115,401806,709501,199902,510138,1151061,336880,67063,405585,80597,-38554,577351,365538,20853,5896,137808,29813,37327,3826,114700,68705
254,BANCO MARIVA S.A.,201608,3666339,368840,142495,6099,136396,226345,40330,141200,542815,256675,286140,0,1154892,1154892,2963267,986016,168876,19296,0,945508,168876,1363327,784013,24050,28297,152484,1087,11,3258134,1839560,1122141,510550,387436,717419,197604,510444,1387033,336880,67063,408205,80597,-38581,621211,386247,23977,7485,158785,31929,38055,4285,131798,71325
254,BANCO MARIVA S.A.,201609,3926621,281636,94656,5705,88951,186980,20059,98272,548863,316125,232738,0,1188525,1188525,2913711,1019786,168739,18763,0,981732,168739,1683683,822644,24562,14082,154286,1074,3,3513099,1752500,1120060,302538,396616,632440,143213,484536,1724320,336880,67063,413522,80597,-39470,667463,401743,27121,8523,177738,36302,40820,4606,147494,76642
254,BANCO MARIVA S.A.,201610,3202445,312770,136102,6391,129711,176668,28362,105301,352035,133214,218821,0,1221495,1221495,2785662,952810,268685,18302,0,886574,268685,1089972,746251,24605,20204,149792,1041,6,2798173,1591297,1056806,315185,377299,534491,181495,334500,1174671,336880,67063,404272,80597,-42637,709485,425266,29659,9336,199597,42558,37651,4977,165459,67392
254,BANCO MARIVA S.A.,201611,3660352,317558,75631,5843,69788,241927,55072,123732,268571,82830,185741,0,1269545,1269545,2877255,963477,306068,17797,0,888171,306068,1577578,782548,24820,20455,150264,1040,11,3257573,1615733,1008978,323657,370438,606755,152140,408761,1618477,336880,67063,402779,80597,-49266,755344,451455,32378,10192,225627,52090,40268,5320,186957,65899
254,BANCO MARIVA S.A.,201612,3612425,373210,53095,5887,47208,320115,17033,238275,325838,161879,163959,0,1239539,1239539,2982689,975445,264094,17307,0,911968,264094,1418615,805589,24823,60345,138754,1076,1,3262798,1769096,1155931,391044,347903,613165,214105,338008,1434758,336880,67063,349627,80597,-50214,788661,483279,37290,10990,287686,54671,31519,5648,240849,12747
254,BANCO MARIVA S.A.,201701,5175976,495440,306282,6591,299691,189158,21531,59068,514938,254524,260414,0,1346087,1346087,3360400,984122,361965,16833,0,919883,361965,2556287,826356,24560,66027,140343,1735,4,4814711,2037079,1616509,790617,431154,420570,164193,202935,2745250,349622,67063,361265,80597,-50061,59696,30885,5651,948,22341,7578,9600,368,17831,11643
254,BANCO MARIVA S.A.,201702,5305580,269186,88496,4766,83730,180690,9273,144030,421783,139979,281804,0,1427675,1427675,3265082,1027001,400674,16291,0,961920,400674,2948572,888228,24874,50407,131545,1705,71,4962138,1868440,1388415,471292,458095,480025,220400,205412,3067892,349622,67063,343442,80597,-45310,113196,68102,5217,1362,46702,13768,13691,7889,38885,-6180
254,BANCO MARIVA S.A.,201703,4720272,341659,77632,11925,65707,264027,34866,177372,183520,33362,150158,0,1448594,1448594,3105072,1037853,410741,16656,0,972401,410741,2494936,863159,24567,63365,131476,1822,21,4390021,1678928,1183275,276821,473351,495653,217665,224661,2681222,349622,67063,330251,80597,-45226,158383,101250,9798,2057,75802,18274,18112,8281,63181,-19371
254,BANCO MARIVA S.A.,201704,4156989,417973,79652,7995,71657,338321,10785,264540,210104,37412,172692,0,1564645,1564645,3529475,1133965,430680,15374,0,1084941,430680,1730298,970955,24912,53032,124684,1796,28,3844264,1991707,1210720,251855,499214,780987,528513,214699,1823769,349623,67063,312725,83146,-46877,201886,132202,13363,2734,99775,22944,20856,15348,83562,-36898
254,BANCO MARIVA S.A.,201705,4572620,362858,83109,4188,78921,279749,8401,195534,273999,106062,167937,0,1671132,1671132,3758666,1195791,475341,14902,0,1136524,475341,2054674,976462,24141,33163,121619,1789,37,4243934,2112174,1435310,406327,552660,676864,403101,240540,2104056,349623,67063,328686,83146,-47177,262720,151125,17358,3417,123268,23247,18521,18479,102472,-20937
254,BANCO MARIVA S.A.,201706,5062320,301471,128737,6534,122203,172734,7829,43735,238217,26879,211338,0,1644158,1644158,3627773,1225383,418775,14403,0,1175931,418775,2659775,923768,23821,39872,123994,1744,54,4724292,2017328,1428227,433247,510462,589101,240679,336686,2683504,349623,67063,338028,83146,-46472,321400,181807,23601,4211,147084,25249,21085,16874,122966,-11595
